id	znamka         	model        	letnik	cena	zaloga	opis                                                                                                                             	motor       	menjalnik	gorivo	pogon	kilometri	notranjost	oprema            	stanje	dobavitelj_id
1	Toyota         	Corolla      	2020	20000	12	    The Toyota Corolla is a compact sedan well known for its reliability, fuel efficiency, and affordable maintenance costs. This 2020 model offers a smooth ride with a 1.8L 4-cylinder engine, combined with an automatic transmission to deliver comfortable driving in city and highway conditions. With 15,000 kilometers on the clock, it features a practical cloth interior that balances comfort and durability. Standard air conditioning and safety features make it an ideal choice for everyday commuting or small families seeking a dependable vehicle. Its spacious cabin and trunk, combined with Toyota’s reputation for longevity, ensure excellent value for money in the used car market. Ideal for those prioritizing economy and ease of ownership without compromising on quality.                                                                                      	1.8L 4-cyl	Automatic	Petrol	FWD	    15000	    Cloth	    Air conditioning	Used	1
2	Honda          	Civic        	2021	22000	22	    The 2021 Honda Civic is a sporty and efficient compact car combining responsive handling with a comfortable ride. Powered by a 2.0L 4-cylinder engine and paired with a manual transmission, it offers engaging driving dynamics. The leather interior adds a premium feel, along with Bluetooth connectivity for entertainment and hands-free calls. With only 10,000 kilometers driven, this car is practically new and features advanced safety systems, making it a great choice for drivers seeking reliability and style in a compact sedan. Its sleek design and modern technology make it a top contender in its class, balancing performance and economy.                                                                                                           	2.0L 4-cyl	Manual   	Petrol	FWD	    10000	    Leather	    Bluetooth        	Used	2
3	Ford           	Focus        	2019	18000	3	    The 2019 Ford Focus is a practical hatchback designed for everyday versatility and convenience. Its 1.5L turbocharged engine provides a balance of power and fuel efficiency, paired with an automatic transmission for easy driving. The cloth interior is comfortable and durable, making it suitable for both city driving and longer trips. Cruise control adds convenience for highway driving, while the compact size ensures easy maneuverability in urban environments. With 25,000 kilometers driven, this well-maintained vehicle offers excellent value as a reliable and functional hatchback for singles, couples, or small families.                                                                                                         	1.5L Turbo	Automatic	Petrol	FWD	    25000	    Cloth	    Cruise control   	Used	3
4	BMW            	3 Series     	2022	35000	45	    The 2022 BMW 3 Series is a luxury sedan that perfectly balances performance and refinement. Powered by a 2.0L turbocharged engine paired with a smooth automatic transmission, it delivers exhilarating acceleration and precise handling. The leather interior exudes sophistication, complemented by advanced navigation systems and premium technology features. With only 8,000 kilometers on the odometer, this car offers a near-new driving experience. Ideal for those seeking sporty dynamics alongside comfort and advanced safety features, the 3 Series maintains BMW's reputation for engineering excellence. Its rear-wheel-drive setup enhances driving engagement, making it a favorite among enthusiasts.                                                                                               	2.0L Turbo	Automatic	Petrol	RWD	    8000	    Leather	    Navigation system	New	    4
5	Audi           	A4           	2021	33000	1	    The 2021 Audi A4 combines stylish design with impressive comfort and technology. Equipped with a 2.0L turbocharged engine and automatic transmission, it provides smooth and efficient performance. The leather interior adds luxury, paired with a premium sound system that enhances the driving experience. Despite low mileage of 12,000 kilometers, this vehicle is in used condition but has been carefully maintained. Audi’s quattro all-wheel-drive system ensures confident handling in diverse weather conditions. The car’s balance of performance, style, and tech features make it a popular choice for drivers seeking a sophisticated and reliable sedan.                                                                 	2.0L Turbo	Automatic	Petrol	AWD	    12000	    Leather	    Premium sound    	Used	5
6	Mercedes-Benz  	C-Class      	2020	40000	3	    The 2020 Mercedes-Benz C-Class is an elegant executive car featuring a 2.0L turbocharged diesel engine paired with a smooth automatic transmission. The leather interior offers luxury and comfort, while the sunroof enhances the cabin ambiance. With 18,000 kilometers, this well-maintained used vehicle combines refined styling and performance with advanced safety features. The rear-wheel-drive layout provides excellent handling dynamics, making it an attractive option for professionals who desire prestige and comfort. The car delivers a premium driving experience synonymous with the Mercedes-Benz brand, making it a top choice in its segment.                                                       	2.0L Turbo	Automatic	Diesel	RWD	    18000	    Leather	    Sunroof          	Used	6
7	Volkswagen     	Golf         	2021	25000	2	    The 2021 Volkswagen Golf is a compact hatchback that blends practicality with modern technology. Its 1.4L turbocharged engine, paired with a manual transmission, delivers a balanced mix of fuel efficiency and responsive performance. The cloth interior is comfortable for daily driving, while parking sensors assist in tight spaces. With only 9,000 kilometers driven, this nearly new car is ideal for urban drivers seeking a versatile and easy-to-drive vehicle. The Golf’s reputation for build quality and reliability makes it a popular choice among hatchback buyers.                                                                                         	1.4L Turbo	Manual   	Petrol	FWD	    9000	    Cloth	    Parking sensors  	New	    7
8	Nissan         	Altima       	2020	24000	5	    The 2020 Nissan Altima is a comfortable mid-size sedan offering a smooth ride and practical features. Powered by a 2.5L 4-cylinder engine with automatic transmission, it provides good fuel economy and reliable performance. The cloth interior is well-maintained, while the backup camera adds safety during parking and reversing maneuvers. With 22,000 kilometers on the clock, this used vehicle is suitable for families or commuters needing space and comfort. Its solid construction and user-friendly technology make the Altima a popular choice in the mid-size sedan segment.                                                  	2.5L 4-cyl	Automatic	Petrol	FWD	    22000	    Cloth	    Backup camera    	Used	8
9	Chevrolet      	Malibu       	2019	19000	1	    The 2019 Chevrolet Malibu is a family sedan designed for comfort and practicality. Equipped with a 1.5L turbocharged engine and automatic transmission, it offers smooth acceleration and fuel efficiency. The cloth interior ensures durability, while Bluetooth connectivity keeps drivers connected on the go. With 30,000 kilometers driven, this used car has been well maintained and is suitable for families or individuals seeking a reliable sedan with modern conveniences. The Malibu's spacious cabin and smooth ride make it an excellent choice for daily use.                                                                                 	1.5L Turbo	Automatic	Petrol	FWD	    30000	    Cloth	    Bluetooth        	Used	9
10	Hyundai        	Elantra      	2021	21000	10	    The 2021 Hyundai Elantra is an efficient and practical compact sedan. Its 2.0L 4-cylinder engine paired with automatic transmission provides dependable performance and good fuel economy. The cloth interior offers comfort for daily commuting, complemented by heated seats for added warmth in colder climates. With 14,000 kilometers driven, this nearly new vehicle combines value and features that appeal to first-time buyers and small families. Hyundai’s reputation for reliability and safety makes the Elantra a strong contender in its segment.                                                  	2.0L 4-cyl	Automatic	Petrol	FWD	    14000	    Cloth	    Heated seats     	New	    10
11	Kia            	Optima       	2020	20000	21	    The 2020 Kia Optima is a stylish midsize sedan featuring a 2.4L 4-cylinder engine with automatic transmission for smooth and reliable performance. Its leather interior offers a premium feel, while lane assist technology enhances driver safety on the road. With 17,000 kilometers driven, this used vehicle balances comfort, technology, and style, making it a great option for commuters and families seeking an affordable yet well-equipped sedan. Kia’s commitment to quality and warranty coverage adds to its appeal.                                                   	2.4L 4-cyl	Automatic	Petrol	FWD	    17000	    Leather	    Lane assist      	Used	11
